for	bilbon ko castinga egin da eta nik jakin ez zuetako inork egin al du edota parte hartu duen ezagunik ba al du
inf	 lasai nere mobiya osondo dau zure grabazio bat gabe obeto ta dena esangonuke jajajajjaja
inf	zelan da nire lagune gorantxixak neure partez nire lagunai
inf	 eskerrikaaskoo ta aber noiz moztezun illea eee
inf	ikasi bihar duan jendiantzat rekomendautaikusi ze musikota 
for	denbora txarrari aurpegi ona jartzen badakit bahia de la kontxa 
for	gaur telebistan entzunda denok martetik gatoz hortaz martzianoak gara beno nire ustez batzuk beste batzuk baino martzianoagoak dira
inf	oso pozik irratixen entzutiegaitzik barriro eskerrik asko 
inf	emateunez whatsapp askok eztute iten enaiz bakarra
for	iban zaldua xabier montoia eta ibon rodriguez biodiskografiak 
inf	dena prest artxipielagoa proiektoren debuterako baluartes a tope dago 
for	bihurri aurpegi horrek salatzen zaitu 
for	 amesteko ez da lo egin beharrik futbol 
for	berriro errepikatu beharrekoa aste onetako beste arratsalde batean
inf	 balee jajaj ni uain lokalea nua ta gabian o biar erlijion asikoonaiz
inf	 kandau baakazu zelan naizu zuremensajik aiati
inf	dulce locura tu mi droga mas dura zorionak pitxin txikitatik elkarrekin zaharrak izan arte 
for	 nire paper guztiekin su handiagoa egingo nuke
for	oroitzen ez badu buruaren ordez bihotzak sentitzen badaki 
for	afariko panorama amona sasijakintsu baten bakarrizketa entzuten laburtuz emakumeok pasatzen ai gea ez degulako gizonen aurrean ceditzen
for	 guztiz ados ederra kanpotik barrutik eta toki guztietatik 
inf	un exito eskerrik asko xarpa 
inf	arratsalde ear bat pasata etxen
inf	jo ta ke irabazi harte 
inf	 au ezda normala jajaj enga oain baii ondoloin txikiii 
inf	 k abandonatu gaitu azken aldian dabil deskonocido txintxotxintxo
inf	 ueueue jajaja enitzan ai ezertaz enteratzen naezuenian
inf	 zorionak neskak hau hasiera besterik ez da izan hasi prestatzen altxatzeko
for	astroekin dantzan gurutzatu dira gure orbitak eta gure begiradak
for	ez dago zerurik ezta paradisurik ez zuretzat ez niretzat
inf	de momento 3 puntu ikasitze gero beste bat y salgo 
inf	oain gosaltzea y no tengo nada de hambre
inf	 guk deku sasarea nos hemos tragau todo eurovision
for	europaren aitorpena lortzeko aukera aitzindaria du donostiak meic llewellyn celtic neighbours 
for	27zapata lana panolien kontua da ciceronek esan zuen 
inf	 aupa erreala alde eta xabi 
inf	 hori egia bada plas plas plas animo ta ez etsi
inf	udako momentu hoberenetarikoak zumaia beach with my girls 
for	esaidazu aurrera pausorik emango banu behar bada bizitzak zentzu bat izango luke 
inf	 bihar ondo etortze zaizuue noraak pistola emateuu
inf	 guuaapiiiii zmz danaa gaur amotora noie ze gero 24rarte ez naz gehixa jungo patxo
inf	 eskerrik asko zure errespetu eta adeitasunarengatik mila muxu guapa 
inf	 urteberri on antigua alde hortan ederki pasau gaua elgoibarren gazte
inf	 ta zelan ein behar zan bestelabarematuzze eperakolotsagarria errua botatzea zuek ez dozuenean ezer egiten
for	epaiketa bertan behera uzteko eskatu dute udazkenean epaituko dituzte 28 gazteek via 
inf	manana semis de copa eh anorgareal zatoz bihar azpeitira hemen duzue atzoko argazki polit bat 
for	luis pazos urdaibaiko arraunlari galiziarrari elkarrizketa interesgarria egin zioten atzo etbsaten 42 urte ditu ta egurrean bejondeiola
for	 ez altzetozenba astebukaera hontan si eske vienes y no sales 
for	intxaurrondoko katalunia txikian ere bozkatu nahi dugu 
inf	 ba motellsagardotei epoka honek etziok bate mesedeik etten
for	adi gaur arratsaldean aldaketak egingo ditu a3333 a3336 eta a3338 lineatan 
for	 eta ez guri tentaldia eraman baina atera gaitzazu gaitzetik via 
inf	 pare bat aldiz indiat ta joditzeeeeeiiiikk jajajajaja
for	listo banago gogoekin urduritasunarekin pozik 
for	 gureokupaziopeko errealitatearen ondorio diren erritmoak errespetatu imperialismoa ez dugu errespetatu beharsuntsitu baizik
for	gatzagaetxebarriak dionez 2013an eta 2014an lanpostuak suntsituko dira eajk ahtko lanak eta erraustegikoak egin nahi ditu 
inf	ze siesta botadeun ta nik bana
inf	 miyesker geo gaude muxux guapaa
inf	atsalden mendie tokatzea ea ze lokaztie harrapatzen deun hor goi hoitan
inf	ba gero eskubaloia ikusi beharko da
for	gloria madero donostiarra lasterketa garrantzitsu batean 
inf	zorionaaak ondondo pasa egunaaa d
for	 ezin ahaztu ta ezin ikutu
inf	txapelketa ta gero ek sinatutako kamiseta bat jasotiak ez dauko prezixoik milaaa 
for	harpidetza eredu berria abian jarri dute informatu herrigintzatik eta egin ekarpena 
for	pentsatzeak ez zaitu nire ondora itzultzen
inf	 zeinen boskote polita egin duren buruan
inf	gaba alaitzeko fito entzungo dot
inf	 zuke instrumentun bat jotze al dezu ba igual beste kame bat izangoa bano
inf	 euskal herria inoiz baino gehiago elkartu dozu
for	irimo txukun txukun ta eguna bezala metalizatua 
inf	gure seme alaben irrifarrak izango dire garaipenaren aitorzabaletabetigogoan jo ta su faxismoaren aurka
inf	 bale bale baino ez dezatela pentsa hau ikusten duten espainolek eaj komunista zenik 
inf	88 egun 3denboraldiaaa geroz ta gutxioo 
for	baina gure herri ederrean barrabarra ditugu festa ta humorea 
for	solasean fernando truebarekin amarako kultur etxean jendez lepo giro ezin hobean 
for	gogorra behar du mina sentitu eta zauria non duzun ez jakiteak via 
inf	 3ren barrun iuel bn ganador ez neretzatostia bn el hombre del piano attutepuuufffaaa
inf	 zorteon zure etapa barriania danak ondo urtetan dotzun
inf	pobriaren suertia bilintx by via 
for	 niri azken esaldiak arrautzak jatearenaen fin hala ere eskertzekoa da kirolean argi hitz egiten dutenak irakurtzea
for	 batez ere falta diren hoiena
inf	aitatxu zinera due eta ni bakarrik etxien
inf	isilik egoteak balio duena bidez
inf	 bejon deikela haimar beti gizon beti ixilean beti handi beti langile milesker urte guzti hauengatik
