for	donostia 20016 eta donostia kulturako langilee via kortxoenea
for	hemen duzue nesken futbolari buruz eginiko erreportaia aldapa zelaituz ederra benetan 
inf	eskerrik asko zure errespetu eta adeitasunarengatik mila muxu guapa 
inf	ya vestuperrare etxean nula konturatu naiz ta klaro geau in ber nitzan jajajaja la edad la edad xdddd
inf	aber gooiz iristenaizenn aireportutikkk ta ezteten asko galtzenn
for	ez da argentina italia da hamsik napoliko ultren buruarekin partidua jokatu edo ez erabakitzen beste mundu bat 
for	ze harro nagoen gaur hau zuei erakutsi ahal izateaz nyko new school eta kosova womens networken arteko elkarlana 
for	jende mordoa hurbildu da udaletxera neskak zoriontzeko gazte eta ume asko tartean 
inf	zerda zure printziko lagunan jeto oi kenduu jajaja
for	arabako ren errektoretza ordera hurbildu eta honakoa en castellano por favor lotsagarria ta iraingarria hizkuntz eskubideak
for	jarri sudur gorria ta eutsi irriei
for	inoiz baino indartsuago gatoz gora 
inf	oaindik astelena ta kin larunbateako planak iten jajajaja
inf	alkola eta tabakoaren zergak igoko dituztela ba oixe ez erre ta ez ean ta kitto
for	gaur ospatzen dugu zorionak denoi baita nafarroaren eguna ere nafarroa eta euskara eskutik helduta
for	hamalaugarrena jarraian igoera ziurtatuta datorren astean borobildu dezakegu denboraldia 
for	beste nonbait ikusi nuen bn orain hau bakarrik topatu dut 
for	urriaren 22an izatetik egitera guk nork bestela jardunaldietan izen ematea zabalik 
inf	mucha mierdaaaa nik ere aurrerago ikusiko dot
for	elkarrizketa interesgarria maitane azpirozi aldizkarian zirku garaikideaz irudiak ere oso politak 
inf	jajajaja ta gaiinea todo gutxiii
inf	gabon txikitxusssss ondo lo ein muxuusss gaur pozik ohera bihar ostirala
for	nafarroaren historia memoria bizia 15121982 ikastaroaren programa izena emateko 
inf	bale benetan ai aldaoinez al dator oeztek allau erreza
for	euskarak 365 egun jardunaldiak n 
for	oporrak behar ditut baina ez ditut gabonak nahi
inf	miyesssskerrrr guapi erregek portatuyaa o biharrarte jejeee muaaaaaa
for	ez gaudela erdi aroan egutegiak dio ta erregeak zer dio txanponetatik kanpo 
for	gaur 1930ean gure sor lekuaren bila dokumentalaren proiekzioa herrerako ken 
for	duin ta gazte kalean aske
